,meanImp,medianImp,minImp,maxImp,normHits,decision
rev_Mean,9.637057545,9.787965709,6.988703242,11.87859259,1,Confirmed
mou_Mean,23.50141316,23.42305581,21.09766157,26.12915813,1,Confirmed
totmrc_Mean,13.84675175,13.88562058,11.91216289,15.67313624,1,Confirmed
da_Mean,4.730913788,4.724490677,2.151454799,6.356806766,0.97979798,Confirmed
ovrmou_Mean,9.472012069,9.577971782,5.513272544,12.72524371,1,Confirmed
ovrrev_Mean,9.365162593,9.377991913,6.479223244,11.95327778,1,Confirmed
vceovr_Mean,9.128878175,9.202396839,6.746725751,11.76709634,1,Confirmed
datovr_Mean,1.909845018,1.959084722,-0.534940327,3.958399153,0.101010101,Rejected
roam_Mean,2.474392067,2.504449254,-1.052746654,4.838298055,0.454545455,Confirmed
rev_Range,8.919865008,8.983178341,6.091792643,11.44089462,1,Confirmed
mou_Range,16.12253716,15.9977317,14.02397575,18.66814704,1,Confirmed
totmrc_Range,13.66574307,13.64183902,11.46387461,16.18323706,1,Confirmed
da_Range,4.005684987,4.067407171,0.970684773,6.054746822,0.909090909,Confirmed
ovrmou_Range,9.171364781,9.268205091,6.598045101,11.0549731,1,Confirmed
ovrrev_Range,9.093334806,9.059336632,7.267381536,10.83563795,1,Confirmed
vceovr_Range,8.979755908,9.040393353,6.751368026,10.6497111,1,Confirmed
datovr_Range,1.555771402,1.954078781,-0.363070985,2.569687283,0,Rejected
roam_Range,2.13638318,1.991206354,0.006831387,4.719873729,0.343434343,Confirmed
change_mou,19.6576893,19.62661307,17.05399392,22.1339078,1,Confirmed
change_rev,8.874451444,8.780507585,6.740642131,11.60352072,1,Confirmed
drop_vce_Mean,6.099957336,6.060860446,3.643035502,8.944287039,1,Confirmed
drop_dat_Mean,0.34567217,0.415835494,-1.371660717,2.349115403,0,Rejected
blck_vce_Mean,2.484431975,2.545357775,-0.288339401,4.833342067,0.474747475,Confirmed
blck_dat_Mean,-0.616747465,-0.797041705,-2.485492036,1.225486251,0,Rejected
unan_vce_Mean,7.008568697,6.911854827,4.239669801,9.811449603,1,Confirmed
unan_dat_Mean,-0.301353213,-0.579028201,-1.603493543,2.481653788,0,Rejected
plcd_vce_Mean,10.19316044,10.17566506,8.14650461,12.77631791,1,Confirmed
plcd_dat_Mean,1.597773995,1.671279148,-0.332746608,3.68095329,0.070707071,Rejected
recv_vce_Mean,9.745036318,9.843689325,7.479308675,11.77787033,1,Confirmed
recv_sms_Mean,-0.004995455,0.082490649,-1.380070004,1.433372707,0,Rejected
comp_vce_Mean,11.23422835,11.2777478,9.018758749,13.13190746,1,Confirmed
comp_dat_Mean,1.402667691,1.300030032,-0.657895833,3.687606055,0.070707071,Rejected
custcare_Mean,5.541021141,5.556349536,2.467274896,8.237812119,1,Confirmed
ccrndmou_Mean,5.878100084,5.971857911,4.331096707,7.47368216,1,Confirmed
cc_mou_Mean,6.866620218,6.879702814,5.053732169,8.961364998,1,Confirmed
inonemin_Mean,8.91557009,8.819352212,6.433950916,11.11513186,1,Confirmed
threeway_Mean,2.726534266,2.763402639,0.475109146,4.695893347,0.575757576,Rejected
mou_cvce_Mean,15.36248453,15.44324808,13.30783701,17.34922965,1,Confirmed
mou_cdat_Mean,1.775863107,1.895744783,-0.733117584,3.996740355,0.181818182,Rejected
mou_rvce_Mean,10.60448226,10.52762246,8.500501055,12.28637461,1,Confirmed
