,meanImp,medianImp,minImp,maxImp,normHits,decision
rev_Mean,20.13324357,20.0166573,17.81587047,22.6006831,1,Confirmed
mou_Mean,30.60606631,30.5450777,27.97306828,33.28447452,1,Confirmed
totmrc_Mean,24.19592733,24.1022312,22.30533229,26.87995117,1,Confirmed
da_Mean,7.065627391,7.054825078,4.674152972,8.703684784,1,Confirmed
ovrmou_Mean,15.7847795,15.8147596,13.37615691,17.75584528,1,Confirmed
ovrrev_Mean,15.80471468,15.85129978,13.65315975,17.81376132,1,Confirmed
vceovr_Mean,15.78558531,15.79810851,13.05763684,19.3800276,1,Confirmed
roam_Mean,4.926485202,4.982228584,1.823932984,7.132951143,0.949494949,Confirmed
rev_Range,19.59151792,19.64472202,17.29315507,22.05777556,1,Confirmed
mou_Range,24.28325371,24.20368906,21.61202758,27.22665636,1,Confirmed
totmrc_Range,18.69969751,18.80283062,16.18094374,21.35940407,1,Confirmed
da_Range,5.417290771,5.444143685,2.855484783,7.845662061,0.98989899,Confirmed
ovrmou_Range,15.44852401,15.43506598,13.36418181,17.9385861,1,Confirmed
ovrrev_Range,15.37885093,15.42757871,13.36407533,18.22987416,1,Confirmed
vceovr_Range,15.547652,15.54008699,13.57602742,17.87230897,1,Confirmed
roam_Range,4.279328916,4.221716173,1.62309946,6.752957238,0.939393939,Confirmed
change_mou,30.06798242,30.02889268,26.87193391,33.81741784,1,Confirmed
change_rev,19.15751405,19.13357205,16.7009185,21.51203036,1,Confirmed
drop_vce_Mean,10.7406066,10.77189776,8.171754249,14.25129878,1,Confirmed
blck_vce_Mean,3.953941102,3.837580541,2.082022,6.964379366,0.909090909,Confirmed
unan_vce_Mean,11.8338448,11.90962178,8.579756812,14.40819167,1,Confirmed
plcd_vce_Mean,14.76598265,14.69038909,12.67073059,17.44536712,1,Confirmed
recv_vce_Mean,15.28909854,15.26828793,13.40307532,17.80021223,1,Confirmed
comp_vce_Mean,15.56697136,15.49596021,13.81142722,17.61214522,1,Confirmed
comp_dat_Mean,2.180417436,2.265175535,-0.27068325,4.043190144,0.373737374,Confirmed
custcare_Mean,7.762812617,7.763565848,5.803110312,9.319882635,1,Confirmed
ccrndmou_Mean,7.955818891,7.889319648,6.34283003,9.819123798,1,Confirmed
cc_mou_Mean,8.675577503,8.656264863,6.685834795,11.01445621,1,Confirmed
inonemin_Mean,14.17413124,14.15538121,11.04462645,16.41266513,1,Confirmed
threeway_Mean,3.365035867,3.413180443,1.072883059,6.243505576,0.747474747,Confirmed
mou_cvce_Mean,17.48868934,17.40533419,14.96186097,19.46205096,1,Confirmed
mou_cdat_Mean,2.999330993,3.11179896,0.300449289,5.707266783,0.626262626,Confirmed
mou_rvce_Mean,15.02920024,14.8765099,12.92959127,18.36755803,1,Confirmed
owylis_vce_Mean,10.94467059,10.98005334,8.197768807,13.22355872,1,Confirmed
mouowylisv_Mean,11.97449562,12.05335553,9.98689012,14.28255065,1,Confirmed
iwylis_vce_Mean,9.91946786,9.887509165,8.183440163,12.10895944,1,Confirmed
mouiwylisv_Mean,10.93760422,10.9826021,8.590060616,13.03140366,1,Confirmed
peak_vce_Mean,16.30221744,16.31234274,14.30472489,18.12601167,1,Confirmed
mou_peav_Mean,18.75413866,18.78408337,16.74244842,21.2039207,1,Confirmed
opk_vce_Mean,15.50115107,15.45018617,13.33259547,18.63499326,1,Confirmed
mou_opkv_Mean,15.41802132,15.30955925,13.41900066,17.26013562,1,Confirmed
drop_blk_Mean,11.2281891,11.21116333,8.772955862,14.04277568,1,Confirmed
attempt_Mean,14.69770959,14.74199803,11.62706589,17.62978568,1,Confirmed
complete_Mean,15.82112896,15.80912296,13.66647211,18.34490691,1,Confirmed
callwait_Mean,8.010469005,8.015114445,5.171840694,10.28456046,1,Confirmed
drop_vce_Range,7.430900511,7.471217617,4.774651721,9.321746926,1,Confirmed
blck_vce_Range,4.106321108,4.185941257,1.470076654,6.164061906,0.909090909,Confirmed
unan_vce_Range,8.755017593,8.895920119,5.567628903,11.28895661,1,Confirmed
plcd_vce_Range,13.98151176,14.04418223,11.18174618,16.38906746,1,Confirmed
recv_vce_Range,11.81630702,11.90054519,9.148526939,14.17749992,1,Confirmed
comp_vce_Range,13.1449869,13.16395318,11.061996,15.30898324,1,Confirmed
custcare_Range,6.610947701,6.635827573,4.460317101,8.469296164,1,Confirmed
ccrndmou_Range,7.177974998,7.226529352,4.815689681,9.636706162,1,Confirmed
cc_mou_Range,8.458197542,8.384635754,6.665458103,11.19160215,1,Confirmed
inonemin_Range,9.753909033,9.719038129,7.4639837,12.33635563,1,Confirmed
mou_cvce_Range,12.7481523,12.83653523,10.45446454,15.64144451,1,Confirmed
mou_rvce_Range,11.48947762,11.33947195,9.334714254,13.82186795,1,Confirmed
owylis_vce_Range,8.917245515,8.775817501,6.880274483,11.37190268,1,Confirmed
mouowylisv_Range,10.05570155,10.11434767,7.361129382,12.40369317,1,Confirmed
iwylis_vce_Range,6.952509553,6.890475293,4.430499897,8.527523952,1,Confirmed
mouiwylisv_Range,9.399607615,9.432027473,6.9465563,11.18545596,1,Confirmed
peak_vce_Range,13.39592205,13.44734943,10.92292854,16.42498262,1,Confirmed
mou_peav_Range,14.01393713,14.09785156,11.33866958,16.42724535,1,Confirmed
mou_pead_Range,2.060217666,2.037716875,-0.596545004,4.584849194,0.383838384,Confirmed
opk_vce_Range,11.32764483,11.23354996,9.053039757,14.04442784,1,Confirmed
mou_opkv_Range,13.04895495,12.96983421,11.29363594,14.93618379,1,Confirmed
mou_opkd_Range,2.75954987,2.747278956,0.49322092,6.536602599,0.545454545,Confirmed
drop_blk_Range,8.329062061,8.233664745,4.6527733,11.56783394,1,Confirmed
attempt_Range,14.01807384,14.06059511,11.87984818,16.05715091,1,Confirmed
complete_Range,13.19908684,13.38530864,10.84033209,15.81304039,1,Confirmed
callwait_Range,5.855943969,5.844819287,3.609162253,8.611632617,0.98989899,Confirmed
months,39.39734912,39.27358891,36.21374781,42.61814372,1,Confirmed
uniqsubs,12.98464218,13.03090209,10.8556874,15.16117734,1,Confirmed
actvsubs,7.101440602,7.099356222,4.906569235,9.571954453,1,Confirmed
crclscod,14.27860619,14.26660163,12.27136852,16.71114242,1,Confirmed
asl_flag,13.04640015,13.10176109,11.49690281,15.15878419,1,Confirmed
totcalls,17.44653541,17.47680284,15.31296838,19.58585251,1,Confirmed
totmou,17.08013662,17.05189932,14.73308408,19.75542168,1,Confirmed
totrev,22.5634954,22.5292847,19.58837106,25.15635832,1,Confirmed
adjrev,22.93967072,22.92641963,20.65341255,25.95568273,1,Confirmed
adjmou,16.45739444,16.41905262,14.64442139,18.41674297,1,Confirmed
adjqty,16.9455454,16.85416112,15.05715082,18.90860679,1,Confirmed
avgrev,18.59859769,18.64456275,16.48054188,20.83431115,1,Confirmed
avgmou,17.26142279,17.22283922,14.39331278,19.84698093,1,Confirmed
avgqty,19.72479787,19.73518249,17.18127879,22.68918113,1,Confirmed
avg3mou,22.67412683,22.66536466,20.71949945,24.9348343,1,Confirmed
avg3qty,21.56602653,21.60437318,19.09646246,24.35161916,1,Confirmed
avg3rev,14.43660732,14.5153755,10.738505,16.72365375,1,Confirmed
refurb_new,7.70411123,7.690855082,5.630162794,10.71256875,1,Confirmed
hnd_price,18.95873678,18.97432349,16.99078505,21.11351326,1,Confirmed
phones,11.04405817,11.08874404,8.017147606,13.46650157,1,Confirmed
models,11.9953513,12.03228421,10.26770832,13.37725202,1,Confirmed
eqpdays,43.58648723,43.57130282,40.21956285,47.27191717,1,Confirmed
datovr_Mean,2.392478931,2.379195345,0.267539574,5.456105908,0.393939394,Rejected
datovr_Range,1.65289802,1.618412132,-0.366417012,3.680294687,0.121212121,Rejected
drop_dat_Mean,0.757088944,0.568689137,-0.270639522,2.325340228,0,Rejected
blck_dat_Mean,0.702957455,0.728406607,-0.766638028,2.314658187,0,Rejected
unan_dat_Mean,0.010133334,-0.075771619,-0.759074065,1.414233071,0,Rejected
plcd_dat_Mean,2.321951043,2.28549401,0.147020712,5.545710552,0.424242424,Rejected
recv_sms_Mean,0.428427649,0.3130885,-0.839833413,2.929795986,0.01010101,Rejected
peak_dat_Mean,1.709995972,1.695192096,-0.845158263,3.832732431,0.161616162,Rejected
mou_pead_Mean,2.094727537,2.062870562,-0.016934537,4.104129577,0.303030303,Rejected
opk_dat_Mean,2.026075535,1.887333475,-0.746103303,4.117224504,0.313131313,Rejected
mou_opkd_Mean,2.583869094,2.498190084,0.504893367,4.976913405,0.505050505,Rejected
callfwdv_Mean,-0.260031219,-0.198200597,-2.794355564,1.38265419,0,Rejected
drop_dat_Range,0.559520843,0.651896096,-1.376607237,1.660754958,0,Rejected
blck_dat_Range,0.952577752,1.251687548,-1.186311064,2.556476419,0.02020202,Rejected
unan_dat_Range,0.123943016,0.12532323,-2.1115038,2.672684924,0.01010101,Rejected
plcd_dat_Range,2.427322411,2.41818111,0.777945728,5.405232618,0.444444444,Rejected
recv_sms_Range,0.254278749,0.309724747,-1.41902317,2.233429973,0,Rejected
comp_dat_Range,2.279175013,2.25825457,0.090070095,4.878197358,0.404040404,Rejected
threeway_Range,1.81684206,1.917429457,-0.219355751,4.210130178,0.03030303,Rejected
mou_cdat_Range,2.955079346,2.761617128,0.886156604,4.845823598,0.606060606,Rejected
peak_dat_Range,2.057719581,2.078099456,0.041323562,4.588594835,0.282828283,Rejected
opk_dat_Range,1.94686868,1.885132097,-0.051083081,4.407479648,0.131313131,Rejected
callfwdv_Range,0.000918355,0.046464833,-1.562641386,1.235955363,0,Rejected
new_cell,1.344092286,1.503392854,-0.074680903,3.957074524,0.01010101,Rejected
csa,1.009773205,0.962683286,-0.624336556,3.418034547,0.04040404,Rejected
area,1.462935409,1.425361506,-0.316806934,3.040566704,0.04040404,Rejected
dualband,2.311538077,2.310777989,-0.453807876,4.45622247,0.404040404,Rejected
