"meanImp" "medianImp" "minImp" "maxImp" "normHits" "decision"
"rev_Mean" 20.2271806354893 20.1015889842256 18.602596562108 22.4624729806214 1 "Confirmed"
"mou_Mean" 31.9582964316096 31.9094651204068 29.0300286033161 34.883151875617 1 "Confirmed"
"totmrc_Mean" 25.5409200877828 25.5783755109384 24.1295981417903 27.7680224149717 1 "Confirmed"
"da_Mean" 7.12247915322597 7.02932347464429 6.0948660324938 8.1147068187043 1 "Confirmed"
"ovrmou_Mean" 16.0559418761352 15.9383507854916 14.520679693967 17.6898289178091 1 "Confirmed"
"ovrrev_Mean" 16.0730888896412 16.2871327819754 14.3799725538415 17.5626924294694 1 "Confirmed"
"vceovr_Mean" 15.7622236229461 15.6500551322535 13.7621279183255 18.0745906981243 1 "Confirmed"
"datovr_Mean" 3.19600758428461 2.9079323074584 2.2927608806649 4.36025292847875 0.736842105263158 "Confirmed"
"roam_Mean" 4.27766054322762 4.40566900986748 3.01006212450285 5.53369806710215 1 "Confirmed"
"rev_Range" 19.5614485397781 19.2805790296056 18.1697106836271 21.1637795034274 1 "Confirmed"
"mou_Range" 25.0447870612381 25.017705661335 22.3798447158937 27.3546293014052 1 "Confirmed"
"totmrc_Range" 17.7778038629167 17.6054287959957 16.4168003987685 21.6963788141024 1 "Confirmed"
"da_Range" 5.74220331968224 5.77056923991638 4.03432112825026 6.97422753337082 1 "Confirmed"
"ovrmou_Range" 15.1105570237796 15.1693699692658 13.5443728625114 16.3388348479914 1 "Confirmed"
"ovrrev_Range" 14.912894586074 14.9095696606145 12.7961557546923 16.4164609636911 1 "Confirmed"
"vceovr_Range" 14.9397218308964 15.09189632169 13.0044017304907 16.5162706042717 1 "Confirmed"
"datovr_Range" 2.83256970370557 2.82075562497357 0.95053398929453 4.91027718040669 0.526315789473684 "Confirmed"
"roam_Range" 4.00726348050605 4.0862251815234 2.0812625606132 5.85315912344881 0.789473684210526 "Confirmed"
"drop_vce_Mean" 9.86647819536706 9.66602772578923 8.46637206102038 11.5179324104053 1 "Confirmed"
