"rev_Mean","mou_Mean","totmrc_Mean","mou_Range","mou_cvce_Mean","mou_rvce_Mean","owylis_vce_Mean","mouowylisv_Mean","churn","totrev","avgrev","avg3mou","avg6mou","hnd_webcap","eqpdays","Customer_ID"
23.9975,219.25,22.5,244,90.64333333,97.17666667,0,0,1,1504.62,29.66,272,322,"WCMB",361,1000001
57.4925,482.75,37.425,1015,189.3966667,55.28,46.33333333,24.21666667,0,2851.68,51.53,305,477,"WC",240,1000002
16.99,10.25,16.99,10,5.426666667,0,0,0,1,2155.91,34.54,12,11,"NA",1504,1000003
38,7.5,38,13,8.41,0.413333333,0.333333333,0.256666667,0,2000.9,40.45,8,50,"NA",1812,1000004
55.23,570.5,71.98,96,285.2333333,106.33,14.66666667,10.81666667,0,2181.12,38.69,558,586,"WCMB",434,1000005
82.275,1312.25,75,362,369.5366667,200.32,370.3333333,243.2133333,0,4033.98,83.68,1260,1187,"WCMB",458,1000006
17.145,0,16.99,0,0,0,0,0,1,3091.7,58.95,0,0,"NA",852,1000007
38.0525,682.5,52.49,370,470.0233333,42.19666667,6.666666667,6.23,0,1427.71,34.71,633,719,"WCMB",231,1000008
97.3375,1039,50,415,460.92,213.8533333,103.3333333,54.71333333,0,4404.44,81.39,973,915,"NA",700,1000009
31.6625,25.5,29.99,83,3.8,0,0,0,0,1458.42,26.51,6,54,"WCMB",601,1000010
62.1275,97.5,65.985,217,136.4933333,0,3.666666667,15.36666667,0,3290.73,56.05,90,123,"WCMB",464,1000011
35.295,24.25,34.98,39,5.533333333,2.386666667,4,2.926666667,0,3104.16,54.82,18,36,"WC",544,1000012
81,1056.25,75,233,0,0,0,0,0,4270.87,78.9,1042,999,"WCMB",388,1000013
25.225,2.5,25,8,1.306666667,1.133333333,0.333333333,0.023333333,0,1370.94,25.95,3,4,"WCMB",354,1000014
212.515,1971.5,84.99,658,581.2966667,718.07,49.33333333,35.16333333,0,6616.72,115.31,2038,1817,"WCMB",199,1000015
42.565,270.5,37.48,369,117.8466667,57.09333333,11,10.81,0,2311.08,43.46,203,222,"WCMB",697,1000016
63.0175,440.25,59.98,89,225.0533333,93.87666667,0,0,0,1739.43,50.68,446,429,"WCMB",530,1000017
35.59,153,29.99,58,50.13333333,33.10666667,8,10.94666667,0,2036.85,36.61,143,135,"WC",48,1000018
55.27,1212.75,49.99,311,456.98,490.1266667,50.66666667,50.00666667,0,1935.97,47.86,1156,1031,"WC",408,1000019
50.965,162,69.99,88,65.24666667,38.37333333,34.33333333,17.40666667,0,1348.33,42.53,181,240,"WCMB",253,1000020
172.44,1978,99.99,1797,1397.513333,515.2333333,22.66666667,22.08666667,1,6751.7,115.57,2314,2192,"WCMB",143,1000021
60.185,1424.5,56.25,1698,44.04,939.3466667,7.666666667,11.76666667,1,6005.39,114.15,1803,1720,"WCMB",162,1000022
244.0975,1771.5,99.99,677,591.74,680.1266667,71,109.3333333,1,7419.73,143.96,1639,1393,"WCMB",350,1000023
30.205,360,29.99,240,103.79,160.8566667,34.33333333,33.68,1,1122.8,29.44,395,486,"WCMB",652,1000024
25.4925,299.5,24.99,139,174.25,77.48666667,6.333333333,7.38,0,1312.65,25.44,315,292,"WCMB",752,1000025
29.99,47,29.99,39,23.06,1.04,10,5.796666667,0,1614.8,31.76,42,64,"WCMB",573,1000026
51.025,382.25,48.79,377,151.33,104.2333333,5,5.833333333,1,3513.41,71.04,307,352,"WC",265,1000027
37.6625,971.75,35.99,219,509.8,244.6433333,20,20.48333333,0,1944.11,41.45,963,932,"WCMB",452,1000028
98.4225,608,94.99,768,387.3466667,57.21,24.66666667,28.87666667,1,3829.33,65.38,796,827,"WCMB",183,1000029
30.26,34.5,29.99,58,16.11333333,0.52,0.333333333,0.906666667,0,2204.39,43.04,24,19,"WCMB",319,1000030
24.49,41.75,16.99,120,5.74,0,0,0,1,2028.12,36.27,15,17,"WCMB",776,1000031
30,94,30,92,49.76333333,19.50666667,1,9.843333333,0,1615.61,29.9,112,108,"NA",1395,1000032
35.5525,138.75,34.99,265,34.63333333,72.50666667,3.666666667,1.66,0,1830.13,36.6,142,134,"WCMB",628,1000033
21.15,45.5,16.99,79,32.59,2.276666667,0,0,0,1174.43,16.9,51,36,"WCMB",138,1000034
28.5,65.75,30,80,15.1,25.95333333,4.333333333,3.693333333,0,1873.74,34.02,52,84,"WC",917,1000035
99.9125,1193.75,75,221,575.1033333,287.97,91.33333333,87.16666667,0,4566.18,83.56,1198,1132,"WCMB",258,1000036
30,155.75,30,134,80.75666667,13.88666667,5,5.573333333,0,1518.34,28.63,124,103,"WCMB",630,1000037
22.3675,90.75,16.99,54,14.34666667,46.79666667,5.666666667,4.566666667,1,1006.81,19.34,82,73,"NA",1570,1000038
33.5625,197.5,30,181,39.83333333,21.94666667,11,6.266666667,1,2362.05,41.67,156,245,"WCMB",786,1000039
33.4775,195.5,29.99,100,39.12333333,74.13,9.666666667,8.643333333,1,1591.01,26.26,177,167,"WCMB",179,1000040
82.1625,660,50,341,181.7,377.4533333,67.66666667,87.27666667,0,2741.17,48.39,721,621,"WCMB",107,1000041
30,56,30,89,27.04666667,13.48333333,4,2.983333333,0,1451.04,27.9,72,105,"WCMB",616,1000042
55.5125,262,54.98,61,65.93333333,151.1666667,9.333333333,4.32,1,2909.82,56.95,261,288,"WC",1155,1000043
16.14,3.75,16.99,8,1.533333333,0.16,0,0,1,968.88,18.27,5,15,"NA",1661,1000044
59.99,67.75,69.99,62,52.38333333,9.936666667,3.333333333,3.28,1,2382.62,41.79,82,70,"NA",1072,1000045
57.98,683.75,54.98,254,304.46,203.68,19.33333333,23.4,1,3808.91,70.75,684,705,"WC",864,1000046
32.055,137.75,30,88,34.59,39.4,3.333333333,1.646666667,1,1555,30.71,140,100,"NA",1549,1000047
78.2875,851.5,85,371,227.1166667,304.7933333,54.66666667,21.51666667,1,3187.88,62.55,920,814,"WCMB",151,1000048
107.235,782,24.99,1196,41.66333333,786.7366667,1.333333333,1.076666667,1,1803.31,34.88,868,476,"WCMB",162,1000049
54.2275,210.25,52.99,207,115.2933333,66.67666667,15.66666667,16.70666667,1,7671.92,134.4,221,241,"WCMB",192,1000050
30.26,23.75,29.99,42,23.95666667,0.133333333,3.666666667,6.963333333,1,2870.33,56.24,15,8,"WC",985,1000051
44.1775,329.5,34.98,180,88.96666667,76.13333333,58,48.10666667,1,1421.72,33.92,302,300,"WC",404,1000052
35.5625,112.75,29.99,86,71.08,4.95,6.333333333,5.156666667,1,1702.17,34,115,128,"WC",389,1000053
145.795,1293.25,67.745,1066,728.4133333,208.0533333,92,67.45333333,0,3310.08,60.71,1144,883,"WC",20,1000054
31.4475,56,30,124,5.373333333,12.7,0,0,1,2399.93,44.39,67,61,"NA",1646,1000055
50.5625,100.25,50,116,69.87,7.8,1,2.26,1,3252.01,56.54,98,86,"NA",977,1000056
51.24,404.25,49.99,168,219.5366667,73.80666667,19.66666667,22.75,1,3836.3,72.33,388,450,"NA",528,1000057
20.18,1.25,20,1,0.4,0.303333333,0,0,0,1048.76,21.4,1,3,"NA",1536,1000058
36.8375,35.5,44.99,70,22.77,1.23,1.666666667,1.93,1,2415.79,44.86,35,115,"NA",1023,1000059
37.99,71,37.99,217,31.09333333,2.373333333,1,0.453333333,0,2811.89,53.02,22,25,"NA",1597,1000060
45.75,150.75,30,67,27.89,17.54,1,0.75,1,1719.71,42.71,164,137,"WC",1150,1000061
42.885,406,40,130,172.9333333,47.69,6.333333333,4.123333333,0,2191.84,43.44,377,349,"NA",901,1000062
91.175,332.75,75,306,185.65,33.21,9,2.366666667,0,3872.66,80.93,343,238,"WCMB",122,1000063
342.8575,2961.25,139.96,1381,991.3666667,871.4966667,210.6666667,244.6433333,0,12610.01,245.53,2893,2739,"WCMB",72,1000064
54.96,244,51.99,73,107.84,48.80666667,13,13.19,0,3341.61,61.76,239,273,"WCMB",37,1000065
29.735,65.25,29.99,133,50.61333333,7.776666667,1,0.856666667,0,4231.59,85.59,40,95,"NA",530,1000066
81.8,859.5,75,283,323.3933333,235.9433333,35.33333333,10.84,1,6499.11,120.57,871,871,"WCMB",860,1000067
149.99,2382.5,149.99,878,1211.343333,391.1933333,145,131.7166667,1,5316.61,95.38,2459,2092,"WCMB",307,1000068
50.485,380.25,59.99,207,116.65,76.15333333,21.66666667,19.45333333,1,2130.37,34.37,349,443,"NA",1698,1000069
53.46,383.5,50,343,102.5733333,112.9566667,26,13.54,1,2762.23,53.47,455,527,"NA",873,1000070
84.9075,745,84.99,1101,286.3733333,181.05,13.33333333,35.7,0,3724.66,78.69,623,657,"WC",86,1000071
75.665,241.75,74.99,52,143.6533333,35.83,4.666666667,4.47,1,2954.67,57.79,248,256,"WCMB",226,1000072
17.4275,19.75,16.99,31,3.216666667,3.69,0,0,0,957.03,16.87,15,18,"NA",1695,1000073
107.25,1671,75,1622,427.13,633.3833333,42,38.43666667,0,5347.69,96.11,1885,1996,"WC",492,1000074
163.54,1437.5,82.95,375,488.9733333,426.91,58,51.38666667,0,6770.5,135.48,1499,1371,"WCMB",100,1000075
66.285,1229.75,59.99,769,822.7466667,258.3133333,103.6666667,99.09333333,0,3130.78,75.77,1157,1102,"NA",659,1000076
26.045,1347,10,1802,1017.853333,454.0466667,91,129.7966667,1,3956.34,71.41,1707,1576,"WCMB",309,1000077
21.12,17.75,18.87,20,0.75,8.523333333,1,0.326666667,0,1155.7,17.66,14,14,"NA",839,1000078
36.085,40,35,34,25.42666667,0.5,0.666666667,0.623333333,1,1458.92,35.06,45,60,"NA",716,1000079
136.4175,560,70.5175,317,155.5633333,246.1033333,36.33333333,40.66333333,1,5715.43,106.46,534,689,"WCMB",374,1000080
76.7375,1007.75,59.99,518,390.7066667,244.05,105,54.66,0,2805.23,53.92,1025,980,"WCMB",163,1000081
5,0,0,0,0,0,0,0,1,4143.09,92.08,370,518,"NA",376,1000082
196.7625,3479,85,667,1046.046667,1005.39,67.33333333,36.31666667,0,9157.72,172.92,3610,3653,"WC",47,1000083
55.19,1087.75,69.99,960,625.1066667,335.0733333,11,16.39333333,0,3064.01,56.46,1051,853,"WCMB",233,1000084
93.02,1348.25,75,372,555.8066667,436.53,59.33333333,43.71333333,0,4933.34,86.87,1403,1382,"WCMB",10,1000085
97.59,1804,75,734,429.6066667,742.4166667,133,138.9333333,0,4947.72,95.82,1918,1897,"WCMB",175,1000086
79.445,831.25,74.99,358,255.43,282.56,37.33333333,22.89666667,0,4509.02,81.67,792,834,"WCMB",49,1000087
56.315,1010.5,59.99,315,587.4033333,151.1,17,16.94333333,0,3688.26,72.02,1006,908,"WCMB",4,1000088
79.595,828,75,514,284.5266667,176.5233333,36,30.5,0,4001.18,79.77,728,1003,"WCMB",350,1000089
30,149.5,30,83,80.08,3.733333333,2,2.33,1,1402.64,30.84,140,125,"WCMB",129,1000090
35.305,148,44.99,225,70.13666667,38.53,7.333333333,4.483333333,0,2629.27,53.08,177,172,"WC",331,1000091
40.7125,364.75,34.98,156,129.7333333,99.85666667,9.333333333,5.666666667,0,2039.23,41.28,375,341,"NA",675,1000092
72.81,1306,77.8975,1341,442.2633333,809.0766667,25.33333333,16.72,0,5455.38,108.4,1460,1719,"WCMB",146,1000093
75.7325,492.75,84.99,316,414.6333333,1.8,1,0.976666667,0,2898.72,57.06,558,567,"WCMB",158,1000094
49.99,820.5,59.99,175,483.2533333,138.9833333,17.66666667,15.74333333,0,4414.7,78.75,812,847,"WCMB",451,1000095
23.5,33.75,15,42,10.12666667,0,15.66666667,1.823333333,0,990.88,19.1,27,22,"NA",1583,1000096
29.99,148.5,29.99,73,82.13333333,7.2,6,4.66,0,1536.65,28.47,142,152,"WCMB",527,1000097
94.135,1216.25,75,512,671.3033333,256.5766667,27.66666667,51.51666667,1,4316.34,82.75,1298,1259,"WCMB",807,1000098
103.2825,1376,84.99,721,812.46,188.09,30,47.93666667,0,4984.62,90.19,1258,1500,"WCMB",652,1000099
71.8575,537.5,75,240,190.4066667,99.72,31.33333333,35.34333333,0,4413.79,81.29,518,604,"WCMB",161,1000100
243.975,2347,59.99,1148,1496.596667,570.74,32,45.25666667,1,2903,53.38,2311,1534,"WCMB",460,1000101
114.1325,1649.75,83,420,650.48,362.5233333,90,53.19,0,4753.44,95.26,1709,1563,"WCMB",306,1000102
90.25,951.5,50,461,145.6833333,464.25,8.333333333,10.64666667,1,2378.78,44.68,849,763,"NA",1475,1000103
53.79,1020,58,941,490.9133333,240.3933333,50.33333333,45.97666667,1,3525.73,65.99,983,1063,"WCMB",163,1000104
45.8475,69.5,50.4775,46,51.17333333,1.143333333,11.33333333,4.96,0,1803.27,35.22,74,63,"WCMB",11,1000105
