Column ID,Column Name,Data Type,Length,Format,Description
173,Customer_ID,Num,8,BEST12. F12.,Unique tournament specific customer ID  
155,HHstatin,Char,1,$F1. $F1.,Prem Household Status Ind   
121,REF_QTY,Num,8,F5. F5.,Total Number of Referrals   
98,actvsubs,Num,4,BEST12. F12.,Number of Active Subs   
110,adjmou,Num,8,BEST12. F12.,adjusted minutes of usage   
111,adjqty,Num,8,BEST12. F12.,adjusted quantity of calls   
109,adjrev,Num,8,BEST12. F12.,adjusted revenue     
150,adults,Char,1,$F1. $F1.,Number of Adults in HH  
145,age1,Char,2,$F2. $F2.,Age of 1st household member  
146,age2,Char,2,$F2. $F2.,Age of 2nd household member  
127,area,Char,30,$F30. $F30.,Area      
102,asl_flag,Char,1,$F1. $F1.,Account Spending Limits    
54,attempt_Mean,Num,8,BEST12. F12.,Attempted Calls     
91,attempt_Range,Num,8,BEST12. F12.,Attempted Calls     
115,avg3mou,Num,4,BEST12. F12.,Subs Last 3 months avg: MOU 
116,avg3qty,Num,4,BEST12. F12.,Subs Last 3 months avg: QTY 
117,avg3rev,Num,4,BEST12. F12.,Subs Last 3 months avg: REV 
118,avg6mou,Num,4,BEST12. F12.,Subs Last 6 months avg: MOU 
119,avg6qty,Num,4,BEST12. F12.,Subs Last 6 months avg: QTY 
120,avg6rev,Num,4,BEST12. F12.,Subs Last 6 months avg: REV 
113,avgmou,Num,8,BEST12. F12.,average minutes of use   
114,avgqty,Num,8,BEST12. F12.,average number of calls   
112,avgrev,Num,8,BEST12. F12.,average revenue     
24,blck_dat_Mean,Num,8,BEST12. F12.,nbr_blocked_calls_data (Failed Calls)    
61,blck_dat_Range,Num,8,BEST12. F12.,nbr_blocked_calls_data (Failed Calls)    
23,blck_vce_Mean,Num,8,BEST12. F12.,nbr_blocked_calls_voice (Failed Calls)    
60,blck_vce_Range,Num,8,BEST12. F12.,nbr_blocked_calls_voice (Failed Calls)    
56,callfwdv_Mean,Num,8,BEST12. F12.,Call Forward Calls    
93,callfwdv_Range,Num,8,BEST12. F12.,Call Forward Calls    
57,callwait_Mean,Num,8,BEST12. F12.,Call Wait Calls    
94,callwait_Range,Num,8,BEST12. F12.,Call Wait Calls    
170,car_buy,Char,7,$F7. $F7.,New or Used car buyer  
