Rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,rev_Range,mou_Range,totmrc_Range,da_Range,ovrmou_Range,ovrrev_Range,vceovr_Range,datovr_Range,roam_Range,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,drop_vce_Range,drop_dat_Range,blck_vce_Range,blck_dat_Range,unan_vce_Range,unan_dat_Range,plcd_vce_Range,plcd_dat_Range,recv_vce_Range,recv_sms_Range,comp_vce_Range,comp_dat_Range,custcare_Range,ccrndmou_Range,cc_mou_Range,inonemin_Range,threeway_Range,mou_cvce_Range,mou_cdat_Range,mou_rvce_Range,owylis_vce_Range,mouowylisv_Range,iwylis_vce_Range,mouiwylisv_Range,peak_vce_Range,peak_dat_Range,mou_peav_Range,mou_pead_Range,opk_vce_Range,opk_dat_Range,mou_opkv_Range,mou_opkd_Range,drop_blk_Range,attempt_Range,complete_Range,callfwdv_Range,callwait_Range,churn,months,uniqsubs,actvsubs,crtcount,rmcalls,rmmou,rmrev,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,REF_QTY,tot_ret,tot_acpt,hnd_price,pre_hnd_price,phones,models,hnd_webcap,truck,mtrcycle,rv,occu1,ownrent,lor,dwlltype,marital,mailordr,age1,age2,wrkwoman,mailresp,children,adults,infobase,income,numbcars,cartype,HHstatin,mailflag,solflag,dwllsize,forgntvl,educ1,proptype,pcowner,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,car_buy,retdays,eqpdays,Customer_ID
23.9975,219.25,22.5,0.2475,0,0,0,0,0,25.99,244,30,0.99,0,0,0,0,0,-157.25,-18.9975,0.666666667,0,0.666666667,0,6.333333333,0,52.33333333,0,42.33333333,0,45,0,0,0,0,18,0,90.64333333,0,97.17666667,0,0,0,0,58,0,132.6,0,24,0,55.22,0,1.333333333,52.33333333,45,0,0.333333333,2,0,1,0,2,0,7,0,13,0,9,0,0,0,0,12,0,24.22,0,3.11,0,0,0,0,3,0,26.82,0,15,0,54.15,0,1,7,9,0,1,1,61,2,1,999,999,999,999,1652,4228,1504.62,1453.44,4085,1602,29.66,83.37,32.69,272,116,30,322,136,38,999,1,0,149.9899902,29.98999023,2,2,WCMB,0,0,0,1,O,15,S,S,B,62,0,NA,R,NA,1,M,4,3,E,C,NA,NA,A,0,999,A,Y,N,U,U,U,U,U,Y,New,23,361,1000001
57.4925,482.75,37.425,0.2475,22.75,9.1,9.1,0,0,153.14,1015,133.58,0.99,91,36.4,36.4,0,0,532.25,50.9875,8.333333333,0,1,0,61.33333333,0,263.3333333,0,69,0,193.3333333,0,1.666666667,6.333333333,5.463333333,53,0.333333333,189.3966667,0,55.28,46.33333333,24.21666667,6.333333333,3.696666667,83.66666667,0,75.33333333,0,157,0,169.3433333,0,9.333333333,263.3333333,193.3333333,0,5.666666667,3,0,3,0,58,0,211,0,65,0,154,0,5,19,16.39,51,1,144.98,0,51.26,17,23.7,10,3.86,128,0,96.28,0,72,0,99.96,0,2,211,154,0,4,0,56,1,1,1,999,999,999,14654,26400,2851.68,2833.88,26367,14624,51.53,479.4,265.89,305,158,40,477,275,48,999,999,999,999,149.9899902,7,6,WC,1,0,1,NA,NA,1,S,S,B,30,0,NA,R,NA,1,M,5,1,B,C,NA,NA,A,0,999,NA,NA,Z,U,U,U,U,U,Y,UNKNOWN,999,240,1000002
16.99,10.25,16.99,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,-4.25,0,0.333333333,0,0,0,2.666666667,0,9,0,0.333333333,0,6,0,0,0,0,0.333333333,0,5.426666667,0,0,0,0,0,0,5,0,5.193333333,0,1,0,0.233333333,0,0.333333333,9,6,0,0,1,0,0,0,4,0,9,0,1,0,5,0,0,0,0,1,0,1.34,0,0,0,0,0,0,4,0,1.23,0,3,0,0.7,0,1,9,5,0,0,1,58,1,1,999,999,999,999,7903,24385.05333,2155.91,1934.47,24303.05,7888,34.54,433.98,140.86,12,7,17,11,6,17,999,999,999,29.98999023,29.98999023,2,1,NA,0,0,0,2,O,7,S,M,B,40,42,NA,R,Y,2,M,5,2,NA,C,NA,NA,A,0,999,A,Y,N,U,Y,U,U,U,Y,New,999,1504,1000003
38,7.5,38,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,3.666666667,0,1.333333333,0,3.666666667,0,0,0,0,1.333333333,0,8.41,0,0.413333333,0.333333333,0.256666667,0,0,1.333333333,0,3.38,0,3.666666667,0,5.45,0,0,3.666666667,3.666666667,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0.93,0,0.62,1,0.77,0,0,2,0,5.07,0,1,0,3.51,0,0,1,1,0,0,0,60,1,1,999,999,999,999,1502,3065,2000.9,1941.81,3035,1479,40.45,63.23,30.81,8,3,38,50,25,40,999,999,999,29.98999023,999,1,1,NA,0,0,0,5,NA,6,M,M,NA,26,26,NA,NA,Y,4,M,6,1,E,C,NA,NA,D,0,999,NA,NA,U,Y,U,U,U,U,Y,New,999,1812,1000004
55.23,570.5,71.98,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,38.5,0,9.666666667,0,0.666666667,0,77,0,222.3333333,0,94.66666667,0,137,0,8.666666667,15,11.07666667,66,0,285.2333333,0,106.33,14.66666667,10.81666667,0.666666667,0.366666667,97.33333333,0,173.4766667,0,90.33333333,0,218.0866667,0,10.33333333,222.3333333,137,0,0,8,0,1,0,82,0,148,0,27,0,56,0,3,9,9.37,19,0,75.55,0,6.15,5,6.2,2,1.1,30,0,40.46,0,41,0,89.22,0,8,148,56,0,0,0,57,1,1,2,999,999,999,4485,14028,2181.12,2166.48,13965,4452,38.69,249.38,79.5,558,191,55,586,196,80,999,999,999,149.9899902,79.98999023,6,4,WCMB,0,0,0,1,R,5,M,S,NA,56,0,NA,NA,N,1,M,6,1,A,C,NA,NA,O,0,2,NA,Y,I,U,U,U,U,U,Y,New,999,434,1000005
82.275,1312.25,75,1.2375,0,0,0,0,0,15.42,362,0,2.97,0,0,0,0,0,156.75,8.145,52,0,7.666666667,0,76,0,702,0,365,0,577.3333333,0,4.333333333,11,7.753333333,301.6666667,1.333333333,369.5366667,0,200.32,370.3333333,243.2133333,147,85.14666667,555.6666667,0,382.0966667,0,303.6666667,0,187.76,0,59.66666667,702,577.3333333,0,22.66666667,57,0,7,0,45,0,60,0,108,0,50,0,13,33,23.26,88,2,47.68,0,4.62,41,43.25,18,16.39,52,0,13,0,34,0,30.06,0,64,60,50,0,13,0,59,2,2,999,999,999,999,26812,40869,4033.98,3932.9,40295,26362,83.68,857.34,560.89,1260,960,80,1187,853,78,999,999,999,129.9899902,9.989997864,9,4,WCMB,0,0,0,NA,O,1,NA,S,B,30,0,NA,R,NA,1,M,6,1,NA,C,NA,NA,NA,0,999,NA,NA,U,U,U,U,U,U,Y,New,999,458,1000006
17.145,0,16.99,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,-0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,2,2,1,999,999,999,6279,17390.03333,3091.7,3065.24,17371.03,6271,58.95,334.06,120.6,0,0,17,0,0,17,999,999,999,29.98999023,9.989997864,4,3,NA,0,0,0,2,O,8,S,M,B,46,54,NA,R,N,3,M,9,999,NA,I,NA,NA,A,0,3,A,Y,N,U,U,U,U,U,Y,UNKNOWN,999,852,1000007
38.0525,682.5,52.49,0.2475,0,0,0,0,0,10,370,10,0.99,0,0,0,0,0,147.5,-3.0625,9,0,1.666666667,0,13,0,97,0,13,0,73.33333333,0,0.666666667,5.333333333,5.276666667,5,0,470.0233333,0,42.19666667,6.666666667,6.23,0,0,33.33333333,0,81.06666667,0,53,0,431.1533333,0,10.66666667,97,73.33333333,0,0.666666667,16,0,1,0,14,0,68,0,8,0,38,0,2,16,15.83,2,0,251.66,0,25.03,3,5.78,0,0,23,0,94.63,0,22,0,168.2,0,17,68,38,0,1,0,53,1,1,1,999,999,999,4491,12492,1427.71,1423.06,12439,4470,34.71,303.39,109.02,633,96,39,719,112,58,999,999,999,79.98999023,29.98999023,3,2,WCMB,0,0,0,NA,R,0,S,M,NA,28,0,NA,NA,N,2,M,1,2,NA,C,NA,NA,A,1,3,NA,NA,S,U,U,U,U,U,Y,New,999,231,1000008
97.3375,1039,50,4.95,419.5,41.95,41.95,0,0,46.32,415,0,13.86,332,33.2,33.2,0,0,198,23.2625,12.66666667,0,3,0,176,0,533.6666667,0,96,0,346.6666667,0,11.33333333,13.66666667,6.25,45,0.333333333,460.92,0,213.8533333,103.3333333,54.71333333,0.333333333,0.056666667,238.3333333,0,377.4533333,0,192.3333333,0,297.32,0,15.66666667,533.6666667,346.6666667,0,4,21,0,5,0,37,0,52,0,66,0,35,0,8,12,5.74,30,1,51.27,0,160.65,30,20.53,1,0.17,39,0,133.06,0,102,0,148.77,0,22,52,35,0,4,0,55,1,1,3,999,999,999,16730,43231.05333,4404.44,4313.71,42943.05,16579,81.39,810.25,312.81,973,465,90,915,434,90,999,999,999,29.98999023,9.989997864,3,3,NA,0,0,0,5,NA,3,M,M,NA,38,24,NA,NA,NA,3,M,4,1,E,C,NA,NA,E,0,999,NA,NA,F,U,U,U,U,U,N,New,999,700,1000009
31.6625,25.5,29.99,0.2475,0,0,0,0,0,5.7,83,0,0.99,0,0,0,0,0,59.5,4.0275,0,0,1,0,2.333333333,0,6.666666667,0,0,0,3.333333333,0,0,0,0,0,0,3.8,0,0,0,0,0,0,1.666666667,0,1.866666667,0,1.666666667,0,1.933333333,0,1,6.666666667,3.333333333,0,0,0,0,2,0,5,0,7,0,0,0,3,0,0,0,0,0,0,3.94,0,0,0,0,0,0,3,0,3.74,0,5,0,5.8,0,2,7,3,0,0,0,57,2,2,1,999,999,999,391,994,1458.42,1457.84,976,377,26.51,17.75,6.85,6,3,30,54,7,34,999,999,999,79.98999023,29.98999023,2,2,WCMB,0,0,0,C,O,8,S,M,B,52,58,NA,R,N,2,M,9,2,NA,I,NA,NA,A,1,2,A,NA,N,U,U,U,U,U,Y,New,999,601,1000010
